venue,cc4,amount,clock,day
Katerina's Cafe,6691,31.69,13:43:00,2014-01-14
Guy's Gyros,1874,16.35,13:44:00,2014-01-14
Gelatogalore,1877,70.98,13:49:00,2014-01-14
Guy's Gyros,9617,38.26,13:49:00,2014-01-14
Kalami Kafenion,4948,27.65,13:50:00,2014-01-14
Kalami Kafenion,1321,15.27,13:51:00,2014-01-14
Ouzeri Elian,7108,62.3,13:51:00,2014-01-14
Ouzeri Elian,2681,33.67,13:53:00,2014-01-14
Gelatogalore,5368,35.97,13:57:00,2014-01-14
Hippokampos,6901,17.18,13:57:00,2014-01-14
Katerina's Cafe,7819,33.54,13:58:00,2014-01-14
Guy's Gyros,1286,50.4,13:59:00,2014-01-14
Ouzeri Elian,7117,19.7,14:01:00,2014-01-14
Gelatogalore,8129,102.03,14:03:00,2014-01-14
Abila Zacharo,4434,24.87,14:03:00,2014-01-14
Abila Scrapyard,2276,4277.4,14:13:00,2014-01-14
Hippokampos,8202,16.73,14:16:00,2014-01-14
Carlyle Chemical Inc.,7792,854.88,14:21:00,2014-01-14
Abila Airport,8642,4918.39,15:32:00,2014-01-14
Octavio's Office Supplies,6816,131.73,15:49:00,2014-01-14
Carlyle Chemical Inc.,7792,3470.99,16:16:00,2014-01-14
Nationwide Refinery,2276,4429.76,16:28:00,2014-01-14
Hippokampos,1415,39.64,19:44:00,2014-01-14
Guy's Gyros,7108,94.26,19:59:00,2014-01-14
Guy's Gyros,4795,23.59,20:01:00,2014-01-14
Albert's Fine Clothing,3484,50.77,20:05:00,2014-01-14
Katerina's Cafe,7889,91.8,20:09:00,2014-01-14
Katerina's Cafe,8129,27.67,20:15:00,2014-01-14
Guy's Gyros,6816,18.11,20:15:00,2014-01-14
Guy's Gyros,5368,35.12,20:17:00,2014-01-14
Katerina's Cafe,3547,36.95,20:17:00,2014-01-14
Guy's Gyros,7384,12.96,20:19:00,2014-01-14
Katerina's Cafe,5407,31.94,20:19:00,2014-01-14
Hippokampos,2463,9.55,20:22:00,2014-01-14
Guy's Gyros,3853,10.85,20:25:00,2014-01-14
Katerina's Cafe,1874,12.65,20:26:00,2014-01-14
Guy's Gyros,7819,25.28,20:29:00,2014-01-14
Ouzeri Elian,6899,11.86,20:32:00,2014-01-14
Frydos Autosupply n' More,4434,42.72,20:33:00,2014-01-14
Katerina's Cafe,3492,11.89,20:34:00,2014-01-14
Ouzeri Elian,9241,24.06,20:41:00,2014-01-14
Katerina's Cafe,8202,46.61,20:42:00,2014-01-14
Frydos Autosupply n' More,6901,146.74,20:43:00,2014-01-14
Ouzeri Elian,2681,80.95,20:46:00,2014-01-14
Hippokampos,8332,43.56,20:48:00,2014-01-14
Albert's Fine Clothing,9635,228.72,20:50:00,2014-01-14
Katerina's Cafe,8411,25.4,20:50:00,2014-01-14
Hippokampos,6895,28.45,21:04:00,2014-01-14
Katerina's Cafe,9617,18.35,21:10:00,2014-01-14
Roberts and Sons,9405,223.81,21:14:00,2014-01-14
Frydos Autosupply n' More,4948,49.21,21:28:00,2014-01-14
Hippokampos,2540,22.13,21:31:00,2014-01-14
Guy's Gyros,7354,26.14,21:31:00,2014-01-14
Hallowed Grounds,7889,11.98,07:33:00,2014-01-15
Brew've Been Served,7384,3.71,07:34:00,2014-01-15
Hallowed Grounds,9617,5.28,07:36:00,2014-01-15
Brew've Been Served,6816,15.5,07:36:00,2014-01-15
Hallowed Grounds,8129,5.95,07:39:00,2014-01-15
Brew've Been Served,9683,19.87,07:40:00,2014-01-15
Hallowed Grounds,7108,12.17,07:44:00,2014-01-15
Coffee Cameleon,2142,19.93,07:45:00,2014-01-15
Brew've Been Served,9405,11.47,07:45:00,2014-01-15
Brew've Been Served,7819,6.58,07:48:00,2014-01-15
Brew've Been Served,1286,11.23,07:49:00,2014-01-15
Brew've Been Served,7354,19.24,07:50:00,2014-01-15
Coffee Cameleon,3547,14.47,07:51:00,2014-01-15
Hallowed Grounds,6691,78.69,07:51:00,2014-01-15
Coffee Cameleon,7253,5.49,07:56:00,2014-01-15
Brew've Been Served,4795,4.92,07:57:00,2014-01-15
Brew've Been Served,4948,3.14,07:58:00,2014-01-15
Brew've Been Served,8411,5.75,07:58:00,2014-01-15
Brew've Been Served,3484,14.06,07:58:00,2014-01-15
Hallowed Grounds,3492,14.33,07:59:00,2014-01-15
Brew've Been Served,5368,8.42,08:00:00,2014-01-15
Hallowed Grounds,1310,15.27,08:00:00,2014-01-15
Brew've Been Served,4434,49.7,08:01:00,2014-01-15
Brew've Been Served,3853,15.58,08:02:00,2014-01-15
Coffee Cameleon,2418,56.31,08:05:00,2014-01-15
Brew've Been Served,5407,12.39,08:05:00,2014-01-15
Brew've Been Served,8202,3.47,08:06:00,2014-01-15
Hallowed Grounds,2681,14.39,08:13:00,2014-01-15
Brew've Been Served,6901,18.58,08:14:00,2014-01-15
Carlyle Chemical Inc.,7792,3608.08,09:34:00,2014-01-15
Nationwide Refinery,9152,1903.77,10:00:00,2014-01-15
Nationwide Refinery,9735,1391.24,10:14:00,2014-01-15
Stewart and Sons Fabrication,9152,4545.38,11:18:00,2014-01-15
Stewart and Sons Fabrication,9735,4740.68,11:44:00,2014-01-15
Nationwide Refinery,7792,3004.98,11:55:00,2014-01-15
Bean There Done That,9635,5.34,12:00:00,2014-01-15
Jack's Magical Beans,6899,11.15,12:00:00,2014-01-15
Brewed Awakenings,2540,91.62,12:00:00,2014-01-15
Bean There Done That,1877,93.13,12:00:00,2014-01-15
Brewed Awakenings,8332,3.62,12:00:00,2014-01-15
Bean There Done That,1321,18.96,12:00:00,2014-01-15
Bean There Done That,6895,15.24,12:00:00,2014-01-15
Jack's Magical Beans,9241,5.3,12:00:00,2014-01-15
Jack's Magical Beans,8156,84.06,12:00:00,2014-01-15
Jack's Magical Beans,2463,19.54,12:00:00,2014-01-15
Abila Airport,8642,3152.41,12:25:00,2014-01-15
Kalami Kafenion,8156,22.39,13:08:00,2014-01-15
Ouzeri Elian,7253,8.93,13:10:00,2014-01-15
Hippokampos,8332,36.7,13:12:00,2014-01-15
Hippokampos,9683,118.89,13:12:00,2014-01-15
Katerina's Cafe,7792,24.15,13:13:00,2014-01-15
Katerina's Cafe,2418,88.56,13:17:00,2014-01-15
Guy's Gyros,1415,14.37,13:22:00,2014-01-15
Abila Zacharo,7889,31.0,13:22:00,2014-01-15
Ouzeri Elian,3484,12.9,13:22:00,2014-01-15
Hippokampos,6899,13.0,13:24:00,2014-01-15
Abila Zacharo,7688,23.51,13:26:00,2014-01-15
Katerina's Cafe,1286,55.6,13:27:00,2014-01-15
Ouzeri Elian,1321,36.47,13:31:00,2014-01-15
Kalami Kafenion,1874,26.17,13:35:00,2014-01-15
Kalami Kafenion,8411,37.15,13:36:00,2014-01-15
Kalami Kafenion,5407,38.5,13:37:00,2014-01-15
Hippokampos,9405,8.75,13:39:00,2014-01-15
Gelatogalore,2463,9.61,13:39:00,2014-01-15
Ouzeri Elian,5368,25.7,13:40:00,2014-01-15
Hippokampos,2540,82.61,13:41:00,2014-01-15
Guy's Gyros,7354,49.34,13:41:00,2014-01-15
Hippokampos,1877,32.4,13:42:00,2014-01-15
Ouzeri Elian,7108,22.86,13:42:00,2014-01-15
Guy's Gyros,2142,15.89,13:44:00,2014-01-15
Abila Zacharo,9635,88.83,13:45:00,2014-01-15
Kalami Kafenion,6895,47.86,13:45:00,2014-01-15
Guy's Gyros,6691,12.19,13:45:00,2014-01-15
Gelatogalore,7117,24.96,13:46:00,2014-01-15
Guy's Gyros,8202,16.58,13:46:00,2014-01-15
Abila Zacharo,7384,20.44,13:47:00,2014-01-15
Ouzeri Elian,8129,26.61,13:51:00,2014-01-15
Gelatogalore,3853,31.21,13:55:00,2014-01-15
Gelatogalore,7819,39.4,13:58:00,2014-01-15
Abila Zacharo,3547,33.8,13:58:00,2014-01-15
Gelatogalore,2681,42.36,13:59:00,2014-01-15
Guy's Gyros,9617,25.58,14:00:00,2014-01-15
Katerina's Cafe,1310,12.12,14:00:00,2014-01-15
Hippokampos,4434,118.23,14:02:00,2014-01-15
Abila Zacharo,3492,24.53,14:02:00,2014-01-15
Abila Zacharo,4948,46.82,14:04:00,2014-01-15
Kronos Pipe and Irrigation,4530,2564.0,14:12:00,2014-01-15
Kalami Kafenion,6901,28.82,14:13:00,2014-01-15
Carlyle Chemical Inc.,7792,1112.04,14:25:00,2014-01-15
Maximum Iron and Steel,4530,4788.22,15:11:00,2014-01-15
Abila Airport,8642,875.87,15:40:00,2014-01-15
Carlyle Chemical Inc.,7792,1392.73,17:01:00,2014-01-15
Ouzeri Elian,9241,28.86,19:18:00,2014-01-15
Katerina's Cafe,3492,39.23,19:50:00,2014-01-15
Frydos Autosupply n' More,2540,18.91,19:52:00,2014-01-15
Guy's Gyros,3484,98.04,19:53:00,2014-01-15
Hippokampos,1415,13.02,19:55:00,2014-01-15
Guy's Gyros,4434,31.04,19:55:00,2014-01-15
General Grocer,7819,126.2,19:56:00,2014-01-15
Katerina's Cafe,8129,25.08,19:59:00,2014-01-15
Katerina's Cafe,2142,29.84,20:00:00,2014-01-15
Guy's Gyros,7354,28.75,20:02:00,2014-01-15
Frydos Autosupply n' More,9683,235.27,20:04:00,2014-01-15
Katerina's Cafe,9617,11.45,20:05:00,2014-01-15
Guy's Gyros,5368,44.91,20:06:00,2014-01-15
Guy's Gyros,6816,36.35,20:08:00,2014-01-15
Hippokampos,9635,35.12,20:10:00,2014-01-15
Shoppers' Delight,8332,162.0,20:10:00,2014-01-15
Hippokampos,7688,11.8,20:16:00,2014-01-15
Katerina's Cafe,8411,29.33,20:17:00,2014-01-15
Hippokampos,1321,10.35,20:23:00,2014-01-15
Katerina's Cafe,1310,39.63,20:23:00,2014-01-15
Hippokampos,1877,16.37,20:24:00,2014-01-15
Katerina's Cafe,8202,61.61,20:26:00,2014-01-15
Ouzeri Elian,6899,23.18,20:29:00,2014-01-15
Katerina's Cafe,2418,29.66,20:29:00,2014-01-15
Frydos Autosupply n' More,1874,18.66,20:33:00,2014-01-15
Albert's Fine Clothing,7117,228.15,20:46:00,2014-01-15
Frydos Autosupply n' More,4948,276.88,20:57:00,2014-01-15
Guy's Gyros,3853,61.43,20:59:00,2014-01-15
Katerina's Cafe,7253,13.77,21:05:00,2014-01-15
Guy's Gyros,1286,27.01,21:05:00,2014-01-15
Ouzeri Elian,2681,8.57,21:05:00,2014-01-15
Hippokampos,6895,101.14,21:08:00,2014-01-15
Katerina's Cafe,3547,27.48,21:21:00,2014-01-15
Hippokampos,8156,37.16,21:42:00,2014-01-15
Kronos Mart,7108,298.83,07:30:00,2014-01-16
Brew've Been Served,5368,25.05,07:33:00,2014-01-16
Brew've Been Served,7354,8.18,07:34:00,2014-01-16
Brew've Been Served,3484,19.9,07:36:00,2014-01-16
Coffee Cameleon,3547,67.19,07:38:00,2014-01-16
Hallowed Grounds,7889,13.84,07:44:00,2014-01-16
Hallowed Grounds,7108,18.2,07:44:00,2014-01-16
Hallowed Grounds,3492,17.74,07:44:00,2014-01-16
Hallowed Grounds,8129,17.92,07:45:00,2014-01-16
Brew've Been Served,7384,7.31,07:50:00,2014-01-16
Hallowed Grounds,9617,44.98,07:51:00,2014-01-16
Hallowed Grounds,1310,9.6,07:51:00,2014-01-16
Brew've Been Served,1286,12.67,07:52:00,2014-01-16
Brew've Been Served,4795,4.7,07:53:00,2014-01-16
Brew've Been Served,4948,83.84,07:54:00,2014-01-16
Hallowed Grounds,1874,7.22,07:54:00,2014-01-16
Brew've Been Served,6816,12.83,07:55:00,2014-01-16
Brew've Been Served,9683,4.33,07:56:00,2014-01-16
Brew've Been Served,3853,5.82,08:02:00,2014-01-16
Coffee Cameleon,2418,63.14,08:03:00,2014-01-16
Hallowed Grounds,9405,72.61,08:03:00,2014-01-16
Brew've Been Served,6901,16.67,08:03:00,2014-01-16
Hallowed Grounds,9551,12.19,08:05:00,2014-01-16
Hallowed Grounds,6691,18.23,08:07:00,2014-01-16
Brew've Been Served,8202,90.33,08:08:00,2014-01-16
Brew've Been Served,4434,17.44,08:09:00,2014-01-16
Hallowed Grounds,2681,4.6,08:09:00,2014-01-16
Brew've Been Served,7819,16.9,08:19:00,2014-01-16
Brew've Been Served,8411,11.21,08:23:00,2014-01-16
Abila Airport,3506,1676.53,09:18:00,2014-01-16
Carlyle Chemical Inc.,7792,419.93,09:52:00,2014-01-16
Nationwide Refinery,9735,1494.44,10:16:00,2014-01-16
Stewart and Sons Fabrication,3506,940.3,11:06:00,2014-01-16
Nationwide Refinery,7792,4742.67,11:25:00,2014-01-16
Stewart and Sons Fabrication,9735,4543.31,11:45:00,2014-01-16
Coffee Shack,7117,10.48,12:00:00,2014-01-16
Bean There Done That,1415,19.82,12:00:00,2014-01-16
Bean There Done That,9635,12.33,12:00:00,2014-01-16
Brewed Awakenings,7688,17.91,12:00:00,2014-01-16
Jack's Magical Beans,6899,9.12,12:00:00,2014-01-16
Brewed Awakenings,2540,6.53,12:00:00,2014-01-16
Bean There Done That,1877,5.56,12:00:00,2014-01-16
Brewed Awakenings,8332,6.39,12:00:00,2014-01-16
Bean There Done That,1321,98.34,12:00:00,2014-01-16
Bean There Done That,6895,17.4,12:00:00,2014-01-16
Jack's Magical Beans,9241,14.86,12:00:00,2014-01-16
Jack's Magical Beans,8156,12.56,12:00:00,2014-01-16
Jack's Magical Beans,2463,6.95,12:00:00,2014-01-16
Nationwide Refinery,3506,2047.28,12:32:00,2014-01-16
Abila Airport,8642,3917.3,12:40:00,2014-01-16
Katerina's Cafe,9683,11.08,13:17:00,2014-01-16
Katerina's Cafe,7688,27.82,13:19:00,2014-01-16
Hippokampos,8332,17.66,13:19:00,2014-01-16
Abila Zacharo,1286,64.71,13:22:00,2014-01-16
Abila Airport,2276,3138.98,13:22:00,2014-01-16
Hippokampos,8156,26.15,13:22:00,2014-01-16
Guy's Gyros,7889,31.48,13:23:00,2014-01-16
Katerina's Cafe,7792,34.9,13:23:00,2014-01-16
Hippokampos,6899,36.17,13:26:00,2014-01-16
Katerina's Cafe,3484,34.02,13:27:00,2014-01-16
Katerina's Cafe,5407,39.74,13:27:00,2014-01-16
Abila Zacharo,3547,31.31,13:27:00,2014-01-16
Guy's Gyros,9551,10.27,13:28:00,2014-01-16
Hippokampos,7253,16.53,13:30:00,2014-01-16
Hippokampos,2540,10.38,13:30:00,2014-01-16
Gelatogalore,2463,12.33,13:33:00,2014-01-16
Hippokampos,6691,13.05,13:35:00,2014-01-16
Hippokampos,1415,31.14,13:36:00,2014-01-16
Gelatogalore,9405,22.19,13:37:00,2014-01-16
Abila Zacharo,4795,69.27,13:39:00,2014-01-16
Guy's Gyros,7819,29.7,13:42:00,2014-01-16
Hippokampos,1321,14.89,13:43:00,2014-01-16
Katerina's Cafe,5368,38.32,13:43:00,2014-01-16
Guy's Gyros,6816,13.48,13:44:00,2014-01-16
Hippokampos,7354,18.18,13:44:00,2014-01-16
Ouzeri Elian,3853,12.47,13:45:00,2014-01-16
Kalami Kafenion,8202,9.27,13:45:00,2014-01-16
Ouzeri Elian,2142,18.27,13:45:00,2014-01-16
Abila Zacharo,7108,36.02,13:47:00,2014-01-16
Kalami Kafenion,9635,91.38,13:48:00,2014-01-16
Abila Zacharo,4948,24.38,13:48:00,2014-01-16
Gelatogalore,1874,32.4,13:48:00,2014-01-16
Hippokampos,9617,29.93,13:48:00,2014-01-16
Kalami Kafenion,3492,11.83,13:48:00,2014-01-16
Kalami Kafenion,7384,8.86,13:49:00,2014-01-16
Hippokampos,1310,8.07,13:54:00,2014-01-16
Hippokampos,8411,30.02,13:55:00,2014-01-16
Abila Zacharo,6901,8.43,13:55:00,2014-01-16
Ouzeri Elian,2418,8.52,14:00:00,2014-01-16
Ouzeri Elian,7117,8.47,14:01:00,2014-01-16
Guy's Gyros,1877,32.8,14:05:00,2014-01-16
Octavio's Office Supplies,5368,131.01,15:58:00,2014-01-16
Abila Scrapyard,2276,1897.05,16:56:00,2014-01-16
Gelatogalore,4434,10.62,17:07:00,2014-01-16
Carlyle Chemical Inc.,7792,1814.24,17:17:00,2014-01-16
Katerina's Cafe,8411,93.68,18:49:00,2014-01-16
Guy's Gyros,7384,25.57,19:04:00,2014-01-16
Guy's Gyros,3484,8.31,19:09:00,2014-01-16
Katerina's Cafe,7889,10.93,19:39:00,2014-01-16
Guy's Gyros,4795,37.8,19:40:00,2014-01-16
Frydos Autosupply n' More,1874,53.37,19:45:00,2014-01-16
Katerina's Cafe,3547,34.34,19:47:00,2014-01-16
Katerina's Cafe,5407,69.3,20:05:00,2014-01-16
Albert's Fine Clothing,7117,283.38,20:08:00,2014-01-16
Katerina's Cafe,8129,18.79,20:09:00,2014-01-16
Guy's Gyros,6901,28.27,20:09:00,2014-01-16
Hippokampos,1321,29.13,20:13:00,2014-01-16
Guy's Gyros,9683,111.31,20:14:00,2014-01-16
Guy's Gyros,3853,25.78,20:17:00,2014-01-16
Guy's Gyros,6816,30.76,20:17:00,2014-01-16
Katerina's Cafe,9617,13.91,20:23:00,2014-01-16
Ouzeri Elian,6899,23.89,20:25:00,2014-01-16
Albert's Fine Clothing,7819,91.71,20:25:00,2014-01-16
Katerina's Cafe,2418,35.43,20:25:00,2014-01-16
Roberts and Sons,4434,155.76,20:25:00,2014-01-16
Ouzeri Elian,2681,22.65,20:25:00,2014-01-16
Ouzeri Elian,9551,9.91,20:28:00,2014-01-16
Katerina's Cafe,9405,30.84,20:28:00,2014-01-16
Guy's Gyros,7108,11.31,20:35:00,2014-01-16
Katerina's Cafe,2142,19.44,20:36:00,2014-01-16
Katerina's Cafe,8202,30.56,20:39:00,2014-01-16
Hippokampos,6895,114.0,20:42:00,2014-01-16
Hippokampos,2463,27.74,20:43:00,2014-01-16
Shoppers' Delight,1877,160.69,20:45:00,2014-01-16
Shoppers' Delight,1286,16.84,20:50:00,2014-01-16
Katerina's Cafe,3492,34.58,20:51:00,2014-01-16
Roberts and Sons,7354,240.66,20:52:00,2014-01-16
Frydos Autosupply n' More,4948,130.01,20:54:00,2014-01-16
Hippokampos,8332,12.47,20:58:00,2014-01-16
Hippokampos,7688,20.84,21:13:00,2014-01-16
Ouzeri Elian,9241,29.99,21:16:00,2014-01-16
Brew've Been Served,7384,52.56,07:29:00,2014-01-17
Hallowed Grounds,1310,3.25,07:31:00,2014-01-17
Hallowed Grounds,7889,14.58,07:33:00,2014-01-17
Brew've Been Served,5368,11.69,07:36:00,2014-01-17
Coffee Cameleon,3547,10.27,07:38:00,2014-01-17
Hallowed Grounds,9617,15.98,07:39:00,2014-01-17
Hallowed Grounds,8129,10.52,07:41:00,2014-01-17
Brew've Been Served,4948,8.07,07:50:00,2014-01-17
Coffee Cameleon,7253,6.81,07:51:00,2014-01-17
Hallowed Grounds,1874,18.6,07:52:00,2014-01-17
Coffee Cameleon,6816,9.16,07:52:00,2014-01-17
Hallowed Grounds,5010,9.72,07:56:00,2014-01-17
Brew've Been Served,7354,10.52,07:57:00,2014-01-17
Hallowed Grounds,6691,5.52,07:59:00,2014-01-17
Brew've Been Served,4795,19.39,07:59:00,2014-01-17
Brew've Been Served,3484,13.66,08:03:00,2014-01-17
Hallowed Grounds,3492,38.22,08:03:00,2014-01-17
Hallowed Grounds,9551,9.4,08:04:00,2014-01-17
Brew've Been Served,9405,16.62,08:04:00,2014-01-17
Coffee Cameleon,2418,7.49,08:07:00,2014-01-17
Kronos Mart,1415,286.24,08:08:00,2014-01-17
Brew've Been Served,8202,9.3,08:09:00,2014-01-17
Brew've Been Served,5407,18.15,08:12:00,2014-01-17
Hallowed Grounds,2681,6.39,08:12:00,2014-01-17
Coffee Cameleon,4434,14.99,08:13:00,2014-01-17
Brew've Been Served,3853,3.09,08:15:00,2014-01-17
Brew've Been Served,6901,5.29,08:17:00,2014-01-17
Brew've Been Served,8411,14.58,08:19:00,2014-01-17
Brew've Been Served,7819,15.46,08:22:00,2014-01-17
Brew've Been Served,1286,51.04,08:23:00,2014-01-17
Stewart and Sons Fabrication,9735,1753.17,11:32:00,2014-01-17
Coffee Shack,7117,19.16,12:00:00,2014-01-17
Bean There Done That,1415,19.67,12:00:00,2014-01-17
Bean There Done That,9635,8.21,12:00:00,2014-01-17
Brewed Awakenings,7688,8.16,12:00:00,2014-01-17
Jack's Magical Beans,6899,7.57,12:00:00,2014-01-17
Brewed Awakenings,2540,88.69,12:00:00,2014-01-17
Bean There Done That,1877,19.56,12:00:00,2014-01-17
Brewed Awakenings,8332,6.0,12:00:00,2014-01-17
Bean There Done That,1321,18.72,12:00:00,2014-01-17
Bean There Done That,6895,5.77,12:00:00,2014-01-17
Jack's Magical Beans,9241,19.11,12:00:00,2014-01-17
Abila Zacharo,8332,68.78,13:11:00,2014-01-17
Kalami Kafenion,7253,140.78,13:16:00,2014-01-17
Hippokampos,2418,38.21,13:16:00,2014-01-17
Gelatogalore,8156,15.84,13:17:00,2014-01-17
Guy's Gyros,7688,8.64,13:18:00,2014-01-17
Guy's Gyros,3484,22.18,13:21:00,2014-01-17
Hippokampos,4795,14.57,13:27:00,2014-01-17
Abila Zacharo,5010,15.95,13:28:00,2014-01-17
Hippokampos,6816,15.77,13:31:00,2014-01-17
Gelatogalore,9635,23.23,13:33:00,2014-01-17
Kalami Kafenion,2463,105.32,13:37:00,2014-01-17
Ouzeri Elian,1415,14.01,13:38:00,2014-01-17
Guy's Gyros,3853,39.14,13:38:00,2014-01-17
Hippokampos,1286,52.31,13:38:00,2014-01-17
Kalami Kafenion,5407,39.43,13:38:00,2014-01-17
Kalami Kafenion,9405,27.7,13:39:00,2014-01-17
Gelatogalore,1310,37.3,13:40:00,2014-01-17
Abila Zacharo,2142,14.51,13:41:00,2014-01-17
Katerina's Cafe,3547,21.01,13:42:00,2014-01-17
Abila Zacharo,7354,79.67,13:45:00,2014-01-17
Gelatogalore,2681,18.1,13:47:00,2014-01-17
Katerina's Cafe,1321,13.11,13:48:00,2014-01-17
Chostus Hotel,9683,114.22,13:49:00,2014-01-17
Kalami Kafenion,1874,20.02,13:51:00,2014-01-17
Gelatogalore,7819,34.59,13:51:00,2014-01-17
Hippokampos,9617,108.35,13:52:00,2014-01-17
Kalami Kafenion,8411,24.21,13:53:00,2014-01-17
Katerina's Cafe,4434,35.52,13:53:00,2014-01-17
Chostus Hotel,2540,159.62,13:54:00,2014-01-17
Guy's Gyros,6901,32.31,13:55:00,2014-01-17
Gelatogalore,3492,21.62,13:57:00,2014-01-17
Hippokampos,1877,21.81,13:58:00,2014-01-17
Kalami Kafenion,7108,27.73,13:58:00,2014-01-17
Guy's Gyros,8202,15.12,14:00:00,2014-01-17
Guy's Gyros,7117,21.1,14:05:00,2014-01-17
Abila Zacharo,5368,51.95,14:06:00,2014-01-17
Katerina's Cafe,4948,70.72,14:15:00,2014-01-17
Ouzeri Elian,8129,26.1,14:32:00,2014-01-17
Katerina's Cafe,3492,22.18,19:24:00,2014-01-17
Guy's Gyros,6816,19.68,19:29:00,2014-01-17
Hippokampos,7117,19.76,19:40:00,2014-01-17
Ouzeri Elian,6899,38.6,19:40:00,2014-01-17
Albert's Fine Clothing,1321,1239.41,19:44:00,2014-01-17
Guy's Gyros,6901,16.83,19:46:00,2014-01-17
Guy's Gyros,4795,35.1,19:53:00,2014-01-17
Katerina's Cafe,8129,34.93,19:57:00,2014-01-17
Frydos Autosupply n' More,4948,124.52,19:57:00,2014-01-17
Hippokampos,2540,8.92,20:03:00,2014-01-17
Shoppers' Delight,7384,155.01,20:05:00,2014-01-17
Katerina's Cafe,1310,21.22,20:07:00,2014-01-17
Ouzeri Elian,9241,70.21,20:07:00,2014-01-17
Guy's Gyros,3484,37.55,20:16:00,2014-01-17
Katerina's Cafe,8202,36.12,20:19:00,2014-01-17
Katerina's Cafe,7253,19.09,20:20:00,2014-01-17
Guy's Gyros,7819,8.31,20:21:00,2014-01-17
Shoppers' Delight,1286,289.33,20:21:00,2014-01-17
Guy's Gyros,3853,8.54,20:24:00,2014-01-17
Katerina's Cafe,7889,72.13,20:24:00,2014-01-17
Ouzeri Elian,9551,35.81,20:28:00,2014-01-17
Ouzeri Elian,2681,26.4,20:35:00,2014-01-17
General Grocer,7108,98.03,20:41:00,2014-01-17
Frydos Autosupply n' More,7354,260.08,20:41:00,2014-01-17
Hippokampos,7688,11.93,20:54:00,2014-01-17
Katerina's Cafe,2142,38.21,20:58:00,2014-01-17
Guy's Gyros,9683,29.71,20:59:00,2014-01-17
Katerina's Cafe,5407,33.73,21:05:00,2014-01-17
Katerina's Cafe,9405,27.49,21:06:00,2014-01-17
Guy's Gyros,4434,55.4,21:07:00,2014-01-17
Frydos Autosupply n' More,5368,67.29,21:15:00,2014-01-17
Hippokampos,2463,38.19,21:29:00,2014-01-17
Hippokampos,9635,12.86,21:58:00,2014-01-17
Chostus Hotel,5010,600.0,12:03:00,2014-01-18
Abila Zacharo,8156,111.93,13:04:00,2014-01-18
Abila Zacharo,2540,25.59,13:05:00,2014-01-18
Katerina's Cafe,6691,34.54,13:15:00,2014-01-18
Ouzeri Elian,6895,33.57,13:18:00,2014-01-18
Kalami Kafenion,5368,30.12,13:19:00,2014-01-18
Hippokampos,1877,100.11,13:21:00,2014-01-18
Abila Zacharo,7253,18.45,13:25:00,2014-01-18
Guy's Gyros,7384,55.21,13:27:00,2014-01-18
Guy's Gyros,1874,27.4,13:28:00,2014-01-18
Kalami Kafenion,2463,38.91,13:28:00,2014-01-18
Abila Zacharo,9551,16.59,13:32:00,2014-01-18
Katerina's Cafe,3484,19.3,13:34:00,2014-01-18
Ouzeri Elian,3547,25.75,13:34:00,2014-01-18
Kalami Kafenion,1321,24.14,13:58:00,2014-01-18
Gelatogalore,2681,84.38,13:58:00,2014-01-18
Katerina's Cafe,8411,37.26,14:00:00,2014-01-18
Kalami Kafenion,8202,42.73,14:02:00,2014-01-18
Katerina's Cafe,7688,96.36,14:03:00,2014-01-18
Guy's Gyros,9617,47.89,14:05:00,2014-01-18
Katerina's Cafe,7819,24.14,14:06:00,2014-01-18
Kalami Kafenion,6901,53.36,14:17:00,2014-01-18
Ahaggo Museum,1286,55.55,14:51:00,2014-01-18
Ahaggo Museum,7384,120.2,14:55:00,2014-01-18
Albert's Fine Clothing,6895,35.66,15:20:00,2014-01-18
Frydos Autosupply n' More,5368,103.41,15:31:00,2014-01-18
General Grocer,3547,477.6,15:31:00,2014-01-18
Frydos Autosupply n' More,1874,361.54,15:32:00,2014-01-18
Shoppers' Delight,8156,258.33,15:40:00,2014-01-18
Roberts and Sons,7253,62.47,15:41:00,2014-01-18
Frydos Autosupply n' More,1877,103.55,15:51:00,2014-01-18
Frydos Autosupply n' More,2463,120.67,15:53:00,2014-01-18
Albert's Fine Clothing,6691,189.52,15:57:00,2014-01-18
Frank's Fuel,9635,52.66,18:39:00,2014-01-18
Frydos Autosupply n' More,5407,234.53,18:51:00,2014-01-18
Albert's Fine Clothing,8156,226.49,18:59:00,2014-01-18
Guy's Gyros,3484,39.68,19:08:00,2014-01-18
Katerina's Cafe,8129,21.63,19:17:00,2014-01-18
Roberts and Sons,9617,266.69,19:20:00,2014-01-18
Ouzeri Elian,6899,57.63,19:21:00,2014-01-18
Hippokampos,1321,21.34,19:21:00,2014-01-18
Guy's Gyros,5368,28.07,19:21:00,2014-01-18
Ouzeri Elian,9551,61.56,19:26:00,2014-01-18
Katerina's Cafe,7889,8.14,19:30:00,2014-01-18
Katerina's Cafe,1874,22.74,19:31:00,2014-01-18
Katerina's Cafe,4434,33.41,19:32:00,2014-01-18
Hippokampos,6895,27.21,19:35:00,2014-01-18
Katerina's Cafe,6691,35.79,19:36:00,2014-01-18
Abila Zacharo,4795,21.29,19:36:00,2014-01-18
Hippokampos,2463,53.21,19:36:00,2014-01-18
